datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,granularity
8/15/2014,4.34,4.02,7.0,13.2,15.0,2.0,3.0,2.0,2014,8,276,Friday,daily
8/18/2014,4.34,6.0,3.1,16.5,21.0,3.0,10.0,2.0,2014,8,276,Monday,daily
8/19/2014,11.34,6.35,5.0,16.1,13.0,1.0,3.0,1.1,2014,8,276,Tuesday,daily
8/26/2014,2.34,5.34,3.0,31.0,14.0,1.0,1.0,3.0,2014,8,276,Tuesday,daily
9/6/2014,5.34,5.0,2.4,15.7,30.0,2.0,5.0,3.1,2014,9,276,Saturday,daily
9/17/2014,2.34,6.0,4.0,39.6,11.0,2.0,19.0,4.0,2014,9,276,Wednesday,daily
9/25/2014,4.68,6.34,8.2,49.15,15.0,1.0,1.0,5.0,2014,9,276,Thursday,daily
9/30/2014,10.0,5.34,4.0,61.3,10.0,2.0,22.0,2.0,2014,9,276,Tuesday,daily
10/10/2014,4.34,2.68,9.0,28.8,24.0,3.0,6.0,0.5,2014,10,276,Friday,daily
10/15/2014,1.33,6.35,3.5,23.7,14.0,1.0,2.0,4.0,2014,10,276,Wednesday,daily
10/16/2014,6.775,3.5103125,2.9375,58.921875,9.0625,0.625,5.0,2.1875,2014,10,276,Thursday,daily
10/29/2014,5.0,1.0,6.6,41.0,20.0,2.0,27.0,1.0,2014,10,276,Wednesday,daily
11/15/2014,4.33,5.34,5.0,23.6,20.0,2.0,2.0,2.0,2014,11,276,Saturday,daily
11/17/2014,9.0,5.01,5.5,23.0,23.0,1.0,10.0,0.2,2014,11,276,Monday,daily
11/22/2014,6.0,2.34,3.0,23.7,15.0,1.0,8.0,1.4,2014,11,276,Saturday,daily
11/24/2014,4.0,3.0,6.0,30.6,19.0,1.0,1.0,2.1,2014,11,276,Monday,daily
11/26/2014,3.0,5.0,6.0,21.0,13.0,3.0,11.0,2.0,2014,11,276,Wednesday,daily
11/27/2014,7.0,3.67,2.3,21.2,9.0,1.0,4.0,3.0,2014,11,276,Thursday,daily
11/28/2014,3.02,1.4,15.0,15.9,12.0,1.0,2.0,1.0,2014,11,276,Friday,daily
12/3/2014,4.0,3.33,5.0,16.6,23.0,2.0,13.0,3.2,2014,12,276,Wednesday,daily
12/5/2014,2.02,5.68,1.0,28.1,15.0,1.0,1.0,2.2,2014,12,276,Friday,daily
12/15/2014,5.34,4.02,7.64,42.2,14.0,1.0,9.0,1.0,2014,12,276,Monday,daily
12/16/2014,6.34,1.34,6.2,23.0,23.0,3.0,4.0,1.0,2014,12,276,Tuesday,daily
12/22/2014,3.34,4.68,2.284,19.6,43.0,1.0,13.0,4.0,2014,12,276,Monday,daily
12/31/2014,5.67,6.33,2.5,41.08,14.0,3.0,10.0,1.0,2014,12,276,Wednesday,daily
1/8/2015,2.0,7.077,1.2,46.4,13.0,1.0,1.0,2.0,2015,1,276,Thursday,daily
1/9/2015,3.0,4.34,9.4,36.2,33.0,2.0,7.0,2.0,2015,1,276,Friday,daily
1/10/2015,6.0,5.864,7.0,32.6,14.0,3.0,1.0,1.0,2015,1,276,Saturday,daily
1/11/2015,3.0,7.34,7.0,43.6,11.0,1.0,11.0,2.0,2015,1,276,Sunday,daily
1/13/2015,10.34,4.66,10.0,34.0,14.0,2.0,4.0,2.0,2015,1,276,Tuesday,daily
1/16/2015,6.33,5.99,3.8,43.0,16.0,2.0,6.0,2.0,2015,1,276,Friday,daily
1/20/2015,4.34,0.33,6.0,38.0,24.0,1.0,4.0,1.0,2015,1,276,Tuesday,daily
1/28/2015,3.0,5.34,3.0,32.0,18.0,3.0,5.0,3.0,2015,1,276,Wednesday,daily
1/29/2015,4.34,5.71,8.7,24.4,16.0,3.0,11.0,3.0,2015,1,276,Thursday,daily
2/6/2015,3.33,3.33,7.3,23.0,7.0,1.0,13.0,1.0,2015,2,276,Friday,daily
2/13/2015,6.01,4.23,7.0,29.6,11.0,1.0,22.0,1.0,2015,2,276,Friday,daily
2/14/2015,4.33,1.736,6.7,29.2,13.0,1.0,5.0,4.0,2015,2,276,Saturday,daily
2/19/2015,2.0,3.332,4.0,36.7,2.0,2.0,6.0,3.0,2015,2,276,Thursday,daily
3/2/2015,6.67,4.68,3.5,40.7,6.0,1.0,2.0,3.0,2015,3,276,Monday,daily
3/20/2015,1.0,7.0,3.0,38.6,13.0,1.0,5.0,1.0,2015,3,276,Friday,daily
3/24/2015,4.0,5.472,5.2,22.4,8.0,2.0,9.0,4.0,2015,3,276,Tuesday,daily
3/25/2015,3.68,8.66,6.4,17.6,10.0,2.0,13.0,1.0,2015,3,276,Wednesday,daily
4/1/2015,6.34,1.33,1.0,24.8,7.0,2.0,5.0,1.0,2015,4,276,Wednesday,daily
4/4/2015,3.67,4.33,6.0,43.0,7.0,1.0,5.0,6.0,2015,4,276,Saturday,daily
4/10/2015,9.84,6.505,4.0,65.6,5.0,2.0,8.0,5.0,2015,4,276,Friday,daily
5/4/2015,4.0,4.723,8.6,36.0,5.0,1.0,10.0,3.3,2015,5,276,Monday,daily
5/7/2015,2.0,3.34,2.0,21.0,4.0,1.0,5.0,10.0,2015,5,276,Thursday,daily
5/9/2015,3.66,4.34,7.4,21.0,11.0,1.0,1.0,6.0,2015,5,276,Saturday,daily
5/18/2015,7.0,2.713,5.2,21.4,6.0,1.0,2.0,2.2,2015,5,276,Monday,daily
5/20/2015,5.67,6.465,2.0,17.0,12.0,1.0,5.0,6.0,2015,5,276,Wednesday,daily
6/2/2015,8.33,8.0,7.9,24.0,10.0,4.0,3.0,6.0,2015,6,276,Tuesday,daily
6/7/2015,6.34,5.01,2.0,17.0,6.0,1.0,22.0,6.0,2015,6,276,Sunday,daily
6/8/2015,6.0,5.66,2.5,31.0,10.0,1.0,3.0,7.0,2015,6,276,Monday,daily
6/17/2015,3.66,3.32,8.66,24.0,10.0,1.0,20.0,2.0,2015,6,276,Wednesday,daily
6/19/2015,5.33,4.01,3.1,24.0,13.0,2.0,10.0,6.3,2015,6,276,Friday,daily
6/24/2015,3.83,4.0,7.0,23.8,5.0,1.0,4.0,3.0,2015,6,276,Wednesday,daily
7/1/2015,8.83,5.68,5.4,18.25,14.0,1.0,12.0,10.0,2015,7,276,Wednesday,daily
7/18/2015,3.68,7.38,2.0,25.0,8.0,3.0,1.0,3.0,2015,7,276,Saturday,daily
7/24/2015,6.0,6.34,3.6,29.6,9.0,1.0,1.0,10.0,2015,7,276,Friday,daily
8/3/2015,1.5,2.33,1.5,23.0,3.5,1.0,5.0,1.0,2015,8,276,Monday,daily
8/7/2015,4.33,4.0,6.0,22.0,9.0,2.0,1.0,6.0,2015,8,276,Friday,daily
8/15/2015,3.34,6.34,6.0,35.0,14.0,1.0,1.0,1.0,2015,8,276,Saturday,daily
8/21/2015,6.0,0.67,3.0,34.0,8.0,1.0,1.0,4.0,2015,8,276,Friday,daily
8/22/2015,2.34,6.736,4.0,28.0,6.0,3.0,1.0,6.0,2015,8,276,Saturday,daily
8/29/2015,10.84,10.34,4.0,23.2,4.0,3.0,3.0,2.0,2015,8,276,Saturday,daily
9/4/2015,3.34,2.68,3.1,20.0,8.0,1.0,1.0,2.0,2015,9,276,Friday,daily
9/5/2015,8.83,6.01,3.2,20.0,10.5,1.0,6.0,4.0,2015,9,276,Saturday,daily
9/7/2015,4.34,6.124,2.5,32.8,7.0,1.0,5.0,2.0,2015,9,276,Monday,daily
9/22/2015,6.99,1.33,4.0,19.5,10.0,2.0,5.0,5.0,2015,9,276,Tuesday,daily
9/26/2015,12.42,3.33,2.5,33.0,6.0,1.0,7.0,2.0,2015,9,276,Saturday,daily
9/27/2015,5.83,3.0,2.3,10.425,3.0,1.0,2.0,1.0,2015,9,276,Sunday,daily
10/5/2015,5.0,2.373,2.2,70.95,11.0,1.0,7.0,5.0,2015,10,276,Monday,daily
10/6/2015,5.69,3.66,5.5,42.725,9.0,1.0,5.0,4.0,2015,10,276,Tuesday,daily
10/9/2015,2.0,2.769,7.6,28.062,13.0,2.0,10.0,2.0,2015,10,276,Friday,daily
10/18/2015,7.34,6.54,4.9,55.6,3.0,1.0,8.0,8.0,2015,10,276,Sunday,daily
10/21/2015,8.66,2.363,3.2,36.8,9.0,1.0,1.0,4.0,2015,10,276,Wednesday,daily
10/26/2015,9.0,5.33,8.0,53.3,8.0,1.0,2.0,2.0,2015,10,276,Monday,daily
10/28/2015,1.0,1.66,1.0,33.0,11.0,1.0,6.0,2.0,2015,10,276,Wednesday,daily
11/4/2015,8.5,2.34,3.0,59.8,18.0,3.0,3.0,4.0,2015,11,276,Wednesday,daily
11/7/2015,4.0,3.11,4.8,69.9,15.0,1.0,6.0,1.0,2015,11,276,Saturday,daily
11/9/2015,3.66,6.198,4.2,40.75,3.0,1.0,12.0,1.0,2015,11,276,Monday,daily
11/20/2015,5.66,1.66,3.8,25.6,2.0,2.0,10.0,3.0,2015,11,276,Friday,daily
11/22/2015,2.0,3.439,2.6,41.2,6.0,2.0,2.0,1.0,2015,11,276,Sunday,daily
11/24/2015,5.0,6.33,6.4,19.8,12.0,3.0,1.0,5.0,2015,11,276,Tuesday,daily
11/30/2015,7.33,1.825,5.0,35.3,5.0,1.0,6.0,3.0,2015,11,276,Monday,daily
12/1/2015,1.99,2.023,6.3,23.9,4.0,1.0,5.0,1.0,2015,12,276,Tuesday,daily
12/3/2015,4.0,3.0,5.6,56.0,6.0,1.0,1.0,1.0,2015,12,276,Thursday,daily
12/4/2015,3.33,4.759,4.7,25.6,9.0,3.0,3.0,1.0,2015,12,276,Friday,daily
12/6/2015,5.67,7.0,3.4,60.4,5.0,2.0,3.0,1.0,2015,12,276,Sunday,daily
12/7/2015,3.0,2.099,2.2,26.5,6.0,1.0,11.0,6.0,2015,12,276,Monday,daily
12/12/2015,6.34,3.2,3.0,42.2,5.0,2.0,6.0,1.0,2015,12,276,Saturday,daily
12/15/2015,4.99,2.0,5.0,42.0,3.0,1.0,2.0,1.0,2015,12,276,Tuesday,daily
12/18/2015,4.33,8.901,4.3,27.2,12.0,4.0,2.0,1.0,2015,12,276,Friday,daily
12/25/2015,0.66,4.66,2.0,20.662,28.0,2.0,1.0,1.0,2015,12,276,Friday,daily
12/28/2015,4.0,5.099,9.2,61.5,18.0,3.0,26.0,1.0,2015,12,276,Monday,daily
1/8/2016,8.0,3.463,7.7,39.2,8.0,3.0,2.0,2.0,2016,1,276,Friday,daily
1/18/2016,3.5,2.99,4.3,62.8,3.0,2.0,9.0,2.0,2016,1,276,Monday,daily
1/20/2016,2.32,3.363,3.0,15.1,29.0,3.0,3.0,2.0,2016,1,276,Wednesday,daily
1/21/2016,5.0,1.43,1.0,68.4,8.0,4.0,6.0,5.0,2016,1,276,Thursday,daily
1/25/2016,10.33,4.26,4.0,46.95,12.0,2.0,10.0,1.5,2016,1,276,Monday,daily
1/27/2016,4.34,4.429,3.4,30.062,18.0,5.0,5.0,2.0,2016,1,276,Wednesday,daily
1/29/2016,5.0,8.67,8.6,74.4,3.0,1.0,17.0,2.0,2016,1,276,Friday,daily
1/30/2016,9.0,4.429,5.3,47.462,3.0,2.0,5.0,2.0,2016,1,276,Saturday,daily
2/9/2016,7.0,3.33,4.4,47.7,16.0,2.0,1.0,2.0,2016,2,276,Tuesday,daily
2/11/2016,1.66,4.156,2.7,38.1,10.0,1.0,13.0,4.0,2016,2,276,Thursday,daily
2/16/2016,7.33,2.32,3.0,29.0,3.0,2.0,9.0,3.0,2016,2,276,Tuesday,daily
2/19/2016,4.0,1.67,4.0,28.7,18.0,2.0,26.0,1.0,2016,2,276,Friday,daily
2/24/2016,7.66,2.33,2.1,35.0,6.0,2.0,5.0,1.0,2016,2,276,Wednesday,daily
2/25/2016,7.99,3.99,5.0,41.0,22.0,1.0,4.0,3.0,2016,2,276,Thursday,daily
3/7/2016,5.33,7.34,4.0,43.5,3.0,1.0,6.0,1.0,2016,3,276,Monday,daily
3/9/2016,4.34,5.67,7.0,21.8,7.0,1.0,6.0,4.0,2016,3,276,Wednesday,daily
3/18/2016,3.34,5.353,5.2,25.462,15.0,2.0,8.0,3.0,2016,3,276,Friday,daily
3/19/2016,10.66,8.33,2.8,19.5,6.0,1.0,5.0,5.0,2016,3,276,Saturday,daily
3/27/2016,7.83,5.449,13.7,63.3,11.0,1.0,1.0,4.0,2016,3,276,Sunday,daily
4/4/2016,7.0,5.231,5.0,21.6,3.0,1.0,11.0,2.0,2016,4,276,Monday,daily
4/5/2016,6.0,5.33,4.0,40.3,5.0,1.0,11.0,12.0,2016,4,276,Tuesday,daily
4/7/2016,6.33,5.98,4.0,21.0,7.0,2.0,4.0,8.2,2016,4,276,Thursday,daily
4/8/2016,7.67,3.66,5.0,42.3,2.0,1.0,3.0,4.4,2016,4,276,Friday,daily
4/10/2016,5.0,6.67,5.15,21.4,4.0,1.0,11.0,8.0,2016,4,276,Sunday,daily
4/11/2016,0.33,4.99,3.0,26.0,11.0,2.0,17.0,6.0,2016,4,276,Monday,daily
4/12/2016,4.34,4.65,6.0,41.6,19.0,1.0,2.0,5.0,2016,4,276,Tuesday,daily
4/18/2016,3.66,2.0,5.0,22.1,15.0,3.0,7.0,7.0,2016,4,276,Monday,daily
4/20/2016,2.66,3.33,2.4,17.1,11.0,5.0,15.0,3.0,2016,4,276,Wednesday,daily
4/25/2016,6.67,1.66,7.25,21.7,20.0,1.0,3.0,2.5,2016,4,276,Monday,daily
5/5/2016,4.66,3.0,6.0,41.0,16.0,3.0,1.0,2.0,2016,5,276,Thursday,daily
5/20/2016,3.0,1.132,3.0,14.0,14.0,2.0,9.0,5.0,2016,5,276,Friday,daily
5/27/2016,8.67,2.683,5.25,17.0,14.0,7.0,2.0,6.0,2016,5,276,Friday,daily
5/29/2016,8.67,4.33,6.0,31.8,2.0,1.0,5.0,9.2,2016,5,276,Sunday,daily
6/2/2016,2.33,6.0,1.05,21.25,18.0,3.0,4.0,1.0,2016,6,276,Thursday,daily
6/11/2016,10.66,2.825,2.0,35.6,4.0,1.0,10.0,8.0,2016,6,276,Saturday,daily
6/14/2016,2.33,6.0,6.1,17.4,17.0,1.0,2.0,3.0,2016,6,276,Tuesday,daily
6/15/2016,5.0,5.495,7.0,35.0,22.0,1.0,1.0,6.0,2016,6,276,Wednesday,daily
6/28/2016,1.33,1.429,2.25,24.0,20.0,5.0,2.0,7.0,2016,6,276,Tuesday,daily
6/29/2016,7.0,8.01,6.5,22.0,12.5,7.0,1.0,2.0,2016,6,276,Wednesday,daily
7/4/2016,8.34,5.34,1.15,14.0,8.0,3.0,7.0,6.0,2016,7,276,Monday,daily
7/27/2016,3.0,6.33,4.15,10.0,4.0,1.0,9.0,2.0,2016,7,276,Wednesday,daily
7/28/2016,9.67,3.99,4.0,22.5,12.0,1.0,5.0,3.0,2016,7,276,Thursday,daily
7/29/2016,9.99,4.51,6.0,11.0,17.0,1.0,11.0,2.0,2016,7,276,Friday,daily
8/1/2016,8.33,1.396,5.0,14.0,7.5,1.0,1.0,6.0,2016,8,276,Monday,daily
8/9/2016,6.33,4.66,7.0,29.0,26.0,1.0,2.0,4.0,2016,8,276,Tuesday,daily
8/21/2016,8.0,3.627,7.4,39.0,3.0,4.0,1.0,1.0,2016,8,276,Sunday,daily
8/25/2016,4.33,2.67,8.0,19.4,4.0,1.0,4.0,5.0,2016,8,276,Thursday,daily
9/5/2016,3.32,4.396,2.0,34.3,8.0,2.0,2.0,4.0,2016,9,276,Monday,daily
9/9/2016,4.99,3.99,3.25,26.124,11.0,2.0,10.0,3.0,2016,9,276,Friday,daily
9/23/2016,2.33,6.99,6.0,28.4,13.0,3.0,7.0,1.0,2016,9,276,Friday,daily
9/26/2016,5.99,1.0,4.0,57.6,4.0,2.0,4.0,1.0,2016,9,276,Monday,daily
9/27/2016,7.0,4.67,7.4,51.7,17.0,3.0,1.0,3.0,2016,9,276,Tuesday,daily
10/3/2016,3.33,5.33,3.0,59.662,2.0,2.0,17.0,3.0,2016,10,276,Monday,daily
10/11/2016,7.33,2.406,11.65,52.6,54.83333333,1.0,8.0,1.0,2016,10,276,Tuesday,daily
10/12/2016,8.33,2.373,2.0,45.75,18.0,1.0,17.0,2.0,2016,10,276,Wednesday,daily
10/15/2016,4.0,5.97,3.35,47.2,16.0,1.0,13.0,1.0,2016,10,276,Saturday,daily
10/18/2016,3.0,5.056,9.0,42.1,9.0,3.0,7.0,3.1,2016,10,276,Tuesday,daily
10/24/2016,2.66,3.023,7.5,37.0,1.0,1.0,2.0,1.0,2016,10,276,Monday,daily
11/4/2016,8.33,4.373,3.6,24.3,14.0,1.0,6.0,4.2,2016,11,276,Friday,daily
11/6/2016,8.0,4.34,3.0,42.45,3.0,2.0,11.0,5.0,2016,11,276,Sunday,daily
11/8/2016,7.0,2.35,8.0,20.0,19.16666667,2.0,8.0,3.0,2016,11,276,Tuesday,daily
11/10/2016,7.33,6.33,7.0,31.1,5.0,2.0,12.0,3.4,2016,11,276,Thursday,daily
11/14/2016,10.0,4.726,3.8,50.5,5.0,3.0,1.0,1.0,2016,11,276,Monday,daily
11/15/2016,5.33,0.33,4.0,30.1,27.0,5.0,5.0,1.0,2016,11,276,Tuesday,daily
11/18/2016,1.33,4.33,6.25,31.0,7.0,1.0,2.0,2.0,2016,11,276,Friday,daily
11/22/2016,4.01,4.703,1.1,23.0,3.0,2.0,7.0,2.0,2016,11,276,Tuesday,daily
11/25/2016,7.34,5.0,7.0,21.0,20.0,4.0,5.0,1.0,2016,11,276,Friday,daily
11/26/2016,3.33,5.0,4.0,36.0,9.0,3.0,12.0,2.0,2016,11,276,Saturday,daily
12/5/2016,9.5,1.68,4.0,23.0,6.0,1.0,13.0,2.0,2016,12,276,Monday,daily
12/7/2016,4.34,2.726,1.7,47.0,8.0,3.0,7.0,3.0,2016,12,276,Wednesday,daily
12/12/2016,3.66,2.429,3.1,44.5,28.33333333,3.0,21.0,4.0,2016,12,276,Monday,daily
12/16/2016,7.33,6.32,2.2,39.775,8.0,3.0,23.0,1.0,2016,12,276,Friday,daily
12/24/2016,6.33,6.7,4.2,82.0,4.0,1.0,2.0,1.0,2016,12,276,Saturday,daily
12/29/2016,11.0,6.01,6.35,81.2,4.0,3.0,6.0,2.0,2016,12,276,Thursday,daily
1/1/2017,3.54375,3.95625,1.5625,25.675,8.75,1.875,6.25,0.625,2017,1,276,Sunday,daily
1/4/2017,6.804166667,5.970833333,6.416666667,56.76666667,10.0,1.25,5.0,2.916666667,2017,1,276,Wednesday,daily
1/8/2017,5.416666667,1.859583333,5.083333333,25.375,10.0,2.083333333,3.333333333,1.666666667,2017,1,276,Sunday,daily
1/9/2017,3.8875,4.057083333,2.583333333,56.125,9.166666667,0.416666667,1.666666667,2.083333333,2017,1,276,Monday,daily
1/10/2017,6.3875,4.73875,13.29166667,54.25,25.0,1.666666667,7.5,0.833333333,2017,1,276,Tuesday,daily
1/11/2017,9.308333333,5.501666667,9.166666667,51.04166667,20.0,1.25,1.666666667,2.916666667,2017,1,276,Wednesday,daily
1/12/2017,8.333333333,5.196666667,8.75,65.9375,14.16666667,1.25,4.583333333,1.666666667,2017,1,276,Thursday,daily
1/14/2017,5.975,4.364583333,7.708333333,47.91666667,16.66666667,0.833333333,5.416666667,2.083333333,2017,1,276,Saturday,daily
1/16/2017,6.670833333,4.029166667,8.041666667,63.5625,12.5,0.416666667,7.083333333,2.083333333,2017,1,276,Monday,daily
1/17/2017,7.225,4.139166667,5.291666667,48.45833333,13.33333333,1.666666667,3.75,2.5,2017,1,276,Tuesday,daily
1/18/2017,6.741666667,4.445833333,6.5,45.95833333,16.66666667,1.25,5.833333333,0.833333333,2017,1,276,Wednesday,daily
1/20/2017,3.608333333,4.73875,4.125,37.625,23.33333333,2.916666667,12.5,2.5,2017,1,276,Friday,daily
1/21/2017,5.695833333,2.4,4.583333333,50.20833333,15.0,2.083333333,4.583333333,2.916666667,2017,1,276,Saturday,daily
1/22/2017,4.5125,5.0075,5.125,37.02083333,19.16666667,1.25,9.166666667,1.666666667,2017,1,276,Sunday,daily
1/23/2017,5.1375,4.505,6.291666667,41.75,15.83333333,0.833333333,2.5,1.666666667,2017,1,276,Monday,daily
1/25/2017,7.779166667,5.108333333,7.666666667,51.1875,18.75,2.083333333,13.75,2.291666667,2017,1,276,Wednesday,daily
1/27/2017,7.85,7.54125,5.166666667,42.60916667,21.25,2.083333333,9.583333333,1.25,2017,1,276,Friday,daily
1/29/2017,5.141666667,7.783333333,5.333333333,54.16666667,15.83333333,2.5,9.583333333,3.333333333,2017,1,276,Sunday,daily
1/30/2017,8.058333333,5.61625,7.0,35.5175,17.08333333,4.166666667,7.083333333,4.166666667,2017,1,276,Monday,daily
1/31/2017,4.441666667,4.254583333,2.833333333,47.25,13.33333333,0.833333333,2.916666667,1.666666667,2017,1,276,Tuesday,daily
2/1/2017,7.375,5.188333333,6.041666667,31.625,10.83333333,0.416666667,8.333333333,2.083333333,2017,2,276,Wednesday,daily
2/2/2017,8.195833333,6.211666667,6.416666667,42.29166667,9.166666667,0.416666667,0.416666667,0.833333333,2017,2,276,Thursday,daily
2/3/2017,7.6375,6.255416667,9.0,42.90083333,15.83333333,2.5,7.083333333,0.833333333,2017,2,276,Friday,daily
2/4/2017,7.779166667,4.166666667,4.416666667,27.70833333,12.08333333,0.833333333,7.5,3.75,2017,2,276,Saturday,daily
2/11/2017,5.33,6.32,5.1,12.4,11.0,1.0,1.0,3.0,2017,2,276,Saturday,daily
2/23/2017,6.67,5.67,4.05,24.1,5.0,1.0,8.0,2.0,2017,2,276,Thursday,daily
2/24/2017,1.0,4.67,4.0,29.8,10.0,1.0,7.0,1.0,2017,2,276,Friday,daily
3/2/2017,5.0,7.13,3.0,13.0,1.0,1.0,1.0,2.0,2017,3,276,Thursday,daily
3/3/2017,9.0,2.99,4.0,12.9,9.0,1.0,6.0,4.0,2017,3,276,Friday,daily
3/11/2017,6.33,4.066,6.0,20.1,2.0,1.0,5.0,3.5,2017,3,276,Saturday,daily
3/12/2017,7.68,7.01,2.0,48.0,6.0,4.0,15.0,2.0,2017,3,276,Sunday,daily
4/5/2017,5.0,0.231,0.2,13.6,9.0,2.0,6.0,1.0,2017,4,276,Wednesday,daily
